irn,DarGlobalUniqueIdentifier,AdmDateInserted,AdmDateModified,DarImageURL,DarIndividualCount,DarBasisOfRecord,DarLatitude,DarLongitude,DarCountry,DarContinent,DarContinentOcean,DarWaterBody,DarCollectionCode,DarEarliestAge,DarEarliestEon,DarEarliestEpoch,DarEarliestEra,DarEarliestPeriod,AttPeriod_tab,DesEthnicGroupSubgroup_tab,DesMaterials_tab,DarOrder,DarScientificName,ClaRank,ComName_tab,DarRelatedInformation,CatProject_tab,DarYearCollected,DarMonthCollected,EcbNameOfObject,CatLegalStatus,DarCatalogNumber,DarCollector,RecordType,TaxIDRank
1,573b7d18-dd2f-4be1-8e0e-9a0b2b5a1f9b,2009-01-22,2015-03-06,http://fm-digital-assets.fieldmuseum.org/211/020/V0075926F.jpg,,Specimen,17,-96.5,Mexico,North America,North America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,Polypodiales,Acrostichum pringlei Davenp.,Species,,vTypes,vTypes,1894,NA,,NA,120151,C. G. Pringle,Catalog,Species
2,6d9996b1-4691-4c90-a538-e3fb02ed3004,2004-11-13,2015-03-06,http://fm-digital-assets.fieldmuseum.org/14/337/L020201.jpg|http://fm-digital-assets.fieldmuseum.org/14/338/L020202.jpg|http://fm-digital-assets.fieldmuseum.org/14/339/L020203.jpg|http://fm-digital-assets.fieldmuseum.org/14/340/L020204.jpg|http://fm-digit,,Specimen,NA,NA,,,,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,Porellales,"Frullania congesta Gottsche, Lindenb. & Nees",Species,,,,NA,NA,,NA,NA,M. von Konrat,Catalog,Species
3,372bf4e0-2f2d-4b7d-9a15-1d657afc3c05,2004-11-13,2015-03-06,,,Specimen,-18.38,-64.13,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
4,6e3cf7aa-7bc5-4b20-bdec-c213b3cd9db1,2004-11-13,2015-03-06,,,Specimen,-16.58,-67.28,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
5,e954ce64-de4b-493d-be71-f30712644482,2004-11-13,2015-03-06,,,Specimen,-16.23,-67.72,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
6,47b5c914-acfa-4940-ad4e-04184142a409,2004-11-13,2015-03-06,,,Specimen,-17.87,-60.83,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
7,1ee9b3b6-1ac3-43e8-98f2-4c6c35ae925a,2004-11-13,2015-03-06,,,Specimen,-18.3,-59.73,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
8,00eee565-7e48-460b-9bc4-f8d625c01fe5,2004-11-13,2015-03-06,,,Specimen,-18.3,-59.73,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
9,2e880e70-8e25-4fdf-b354-269726bca99a,2004-11-13,2015-03-06,,,Specimen,-17.82,-64.72,Bolivia,South America,South America,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,,NA,NA,M. Lewis,Catalog,
10,639366c3-82ff-41e6-8b3f-fc4d353b4f20,2004-11-13,2015-03-06,,,Specimen,NA,NA,,,,NA,Botany,NA,NA,NA,NA,NA,NA,NA,NA,Jungermanniales,Balantiopsis montana (Colenso) J. J. Engel & G. L. Merr.,Species,,,,NA,NA,,NA,NA,NA,Catalog,Species
