Eon,Era,Period,Epoch,Age,DateTo,DateFrom,
Phanerozoic,Cenozoic,Quaternary,Holocene,,0,-11500,4
Phanerozoic,Cenozoic,Quaternary,Pleistocene,Gelasian,-1810000,-2590000,5
Phanerozoic,Cenozoic,Quaternary,Pleistocene,Middle Pleistocene,-2590000,-781000,5
Phanerozoic,Cenozoic,Quaternary,Pleistocene,,-2590000,-781000,4
Phanerozoic,,,,,-2590000,-781000,1
Phanerozoic,Cenozoic,,,,-2590000,-781000,2
Phanerozoic,Cenozoic,Quaternary,,,-2590000,-781000,3
Phanerozoic,Cenozoic,Neogene,Pliocene,Piacenzian,-2590000,-3600000,5
Phanerozoic,Cenozoic,Neogene,Pliocene,Zanclean,-3600000,-5330000,5
Phanerozoic,Cenozoic,Neogene,Miocene,Messinian,-5330000,-7250000,5
Phanerozoic,Cenozoic,Neogene,Pliocene,Late Pliocene,-3600000,-2590000,5
Phanerozoic,Cenozoic,Quaternary,Pleistocene,Early Pleistocene,-3600000,-2590000,5
Phanerozoic,Cenozoic,Neogene,,,-3600000,-2590000,3
Phanerozoic,Cenozoic,Neogene,Pliocene,,-3600000,-2590000,4
Phanerozoic,Cenozoic,Neogene,Miocene,Tortonian,-7250000,-11610000,5
Phanerozoic,Cenozoic,Neogene,Miocene,Serravallian,-11610000,-13650000,5
Phanerozoic,Cenozoic,Neogene,Miocene,Aquitanian,-20430000,-23030000,5
Phanerozoic,Cenozoic,Paleogene,Oligocene,Chattian,-23030000,-28450000,5
Phanerozoic,Cenozoic,Paleogene,Oligocene,Rupelian,-28450000,-33900000,5
Phanerozoic,Cenozoic,Paleogene,Eocene,Priabonian,-33900000,-37200000,5
Phanerozoic,Cenozoic,Neogene,Miocene,Langhian,-15970000,-13650000,5
Phanerozoic,Cenozoic,Neogene,Miocene,Burdigalian,-15970000,-13650000,5
Phanerozoic,Cenozoic,Paleogene,Paleocene,Thanetian,-55800000,-58700000,5
Phanerozoic,Cenozoic,Paleogene,Paleocene,Selandian,-58700000,-61700000,5
Phanerozoic,Mesozoic,Cretaceous,Late Cretaceous,,-65500000,-99600000,4
Phanerozoic,Mesozoic,,,,-65500000,-99600000,2
Phanerozoic,Mesozoic,Cretaceous,Late Cretaceous,Campanian,-70600000,-83500000,5
Phanerozoic,Cenozoic,Paleogene,Oligocene,Late Oligocene,-28450000,-23030000,5
Phanerozoic,Mesozoic,Cretaceous,Late Cretaceous,Santonian,-83500000,-85800000,5
Phanerozoic,Mesozoic,Cretaceous,Late Cretaceous,Coniacian,-85800000,-89300000,5
Phanerozoic,Mesozoic,Cretaceous,Late Cretaceous,Turonian,-89300000,-93500000,5
Phanerozoic,Cenozoic,Neogene,Miocene,Early Miocene,-32000000,-30500000,5
Phanerozoic,Cenozoic,Paleogene,Paleocene,,-32000000,-30500000,4
Phanerozoic,Cenozoic,Paleogene,Oligocene,,-32000000,-30500000,4
Phanerozoic,Cenozoic,Paleogene,Paleocene,Danian,-32000000,-30500000,5
Phanerozoic,Cenozoic,Neogene,Miocene,,-32000000,-30500000,4
Phanerozoic,Cenozoic,Paleogene,Eocene,,-55800000,-33900000,4
Phanerozoic,Mesozoic,Cretaceous,Early Cretaceous,Valanginian,-136400000,-140200000,5
Phanerozoic,Mesozoic,Cretaceous,Early Cretaceous,Berriasian,-140200000,-145500000,5
Phanerozoic,Mesozoic,Jurassic,Late Jurassic,,-145500000,-161200000,4
Phanerozoic,Mesozoic,Jurassic,Late Jurassic,Tithonian,-145500000,-150800000,5
Phanerozoic,Mesozoic,Jurassic,Late Jurassic,Kimmeridgian,-150800000,-155650000,5
Phanerozoic,Mesozoic,Jurassic,Late Jurassic,Oxfordian,-155650000,-161200000,5
Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,,-161200000,-175600000,4
Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,Callovian,-161200000,-164700000,5
Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,Bathonian,-164700000,-167700000,5
Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,Bajocian,-167700000,-171600000,5
Phanerozoic,Cenozoic,Paleogene,Eocene,Ypresian,-55800000,-48600000,5
Phanerozoic,Cenozoic,Paleogene,Eocene,Bartonian,-55800000,-48600000,5
Phanerozoic,Cenozoic,Paleogene,Eocene,Lutetian,-55800000,-48600000,5
Phanerozoic,Mesozoic,Jurassic,Middle Jurassic,Aalenian,-171600000,-175600000,5
Phanerozoic,Mesozoic,Jurassic,Early Jurassic,Pliensbachian,-183000000,-189600000,5
