efmnhrepatriation_key,irn,ResNoOfVisitors,ResCommencementDate,ResCompletionDate,InfRecordType
1,1,,2011-07-13,2011-07-29,Research Visit
2,2,,2014-01-03,2014-01-03,Research Visit
3,3,,2012-03-22,2012-03-22,Research Visit
4,4,1,2015-09-21,2015-09-28,Research Visit
5,5,1,2011-11-23,2011-11-23,Research Visit
6,6,90,2011-11-19,2011-11-19,Non-Research Visit
7,7,1,2011-11-15,2011-11-15,Research Visit
8,8,2,2011-11-11,2011-11-11,Research Visit
9,9,3,2011-11-10,2011-11-10,Non-Research Visit
10,10,,2011-10-11,2011-10-12,Research Visit
11,11,,2015-10-05,2015-10-09,Research Visit
12,12,,,,Research Visit
13,13,,2013-10-04,2013-10-04,Research Visit
14,14,12,2012-02-21,2012-02-21,Research Visit
15,15,,2012-04-30,2012-05-03,Research Visit
16,16,,2011-11-01,2011-11-04,Research Visit
17,17,,2011-08-19,2011-08-19,Research Visit
18,18,,,,Research Visit
19,19,,2012-03-02,2012-03-02,Research Visit
20,20,,2011-10-18,2011-10-25,Research Visit
21,21,2,2015-05-28,2015-05-29,Research Visit
22,22,1,2015-11-24,2015-11-24,Research Visit
23,23,,2015-12-03,2015-12-03,Research Visit
24,24,,2015-02-26,2015-02-26,Research Visit
25,25,1,2015-06-11,2015-06-12,Research Visit
26,26,,2011-08-18,2011-08-18,Research Visit
27,27,,2011-05-04,2011-05-13,Research Visit
28,28,,2013-03-18,2013-03-18,Research Visit
29,29,,2012-06-11,,Research Visit
30,30,,2015-06-15,2015-06-19,Research Visit
31,31,45,2011-11-15,2011-11-16,Research Visit
32,32,,2014-02-18,2014-02-18,Research Visit
33,33,,2011-10-21,2011-10-21,Research Visit
34,34,,2012-12-06,2012-12-06,Research Visit
35,35,13,2012-04-30,2012-05-03,Research Visit
36,36,,2014-11-05,2014-11-07,Research Visit
37,37,,2014-12-02,2014-12-02,Research Visit
38,38,1,2015-11-23,2015-12-04,Research Visit
39,39,,2014-11-10,2014-11-10,Research Visit
40,40,,2015-12-08,2015-12-08,Research Visit
