irn,DarLatitude,DarLongitude,Where,Quality,RecordType,Backlog,TaxIDRank,What,DarCollectionCode,HasMM,URL,WhenAge,WhenAgeFrom,WhenAgeTo,DarYearCollected,WhenOrder,WhenTimeLabel,WhenAgeMid,Department,DarIndividualCount,Who
1000,17,-96.5,Mexico | North America | North America |,2,Catalog,0,Species,Botany | Polypodiales | Vtypes | Acrostichum pringlei Davenp. | ,Botany,1,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1894,1894,1894,41,1875,1894,Botany,1,
1001,,,,3,Catalog,0,Species,Botany | Porellales | Frullania congesta Gottsche Lindenb. Nees | ,Botany,1,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1002,-18.38,-64.13,Bolivia | South America | South America |,3,Catalog,0,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1003,-16.58,-67.28,Bolivia | South America | South America |,3,Catalog,0,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1004,-16.23,-67.72,Bolivia | South America | South America |,3,Catalog,0,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1005,-17.87,-60.83,Bolivia | South America | South America |,3,Catalog,0,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1006,-18.3,-59.73,Bolivia | South America | South America |,3,Catalog,0,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1007,-18.3,-59.73,Bolivia | South America | South America |,3,Catalog,0,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1008,-17.82,-64.72,Bolivia | South America | South America |,3,Catalog,0,,Botany | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1009,,,,3,Catalog,0,Species,Botany | Jungermanniales | Balantiopsis montana Colenso J. J. Engel G. L. Merr. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1010,,,,3,Catalog,0,Species,Botany | Porellales | Colura saccophylla E. A. Hodgs. Herzog | ,Botany,1,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1011,,,,3,Catalog,0,Genus,Botany | Jungermanniales | Chaetophyllopsis R. M. Schust. | ,Botany,1,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1012,,,New Zealand | Oceania | Oceania |,3,Catalog,0,Species,Botany | Jungermanniales | Lepidozia bisbifida Steph. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,2000,2000,2000,52,2000,2000,Botany,1,
1013,,,New Zealand | Oceania | Oceania |,3,Catalog,0,Species,Botany | Porellales | Frullania rostrata Hook. f. Taylor Hook. f. Taylor | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1997,1997,1997,51,1990,1997,Botany,1,
1014,,,New Zealand | Oceania | Oceania |,3,Catalog,0,Species,Botany | Porellales | Frullania rostrata Hook. f. Taylor Hook. f. Taylor | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1997,1997,1997,51,1990,1997,Botany,1,
1015,,,New Zealand | Oceania | Oceania |,3,Catalog,0,Species,Botany | Porellales | Frullania allanii E. A. Hodgs. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1997,1997,1997,51,1990,1997,Botany,1,
1016,,,New Zealand | Oceania | Oceania |,3,Catalog,0,Species,Botany | Porellales | Frullania falciloba Taylor ex Lehm. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1996,1996,1996,51,1990,1996,Botany,1,
1017,,,New Zealand | Oceania | Oceania |,3,Catalog,0,Species,Botany | Porellales | Frullania scandens Mont. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1996,1996,1996,51,1990,1996,Botany,1,
1018,-17.38,-65.6,Bolivia | South America | South America |,2,Catalog,0,Genus,Botany | Rhacocarpus Lindb. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1985,1985,1985,50,1980,1985,Botany,1,
1019,35.369815,-83.565164,U.S.A. | North America | North America |,2,Catalog,0,Species,Botany | Porellales | Frullania ericoides Nees Mont. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1020,,,U.S.A. | North America | North America |,3,Catalog,0,Phylum,Botany | Marchantiophyta Stotler Crand. Stotl. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1021,-15.3,-68.47,Bolivia | South America | South America |,2,Catalog,0,Genus,Botany | Jungermanniales | Plagiochila Dumort. Dumort. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1022,,,Bolivia | South America | South America |,3,Catalog,0,Genus,Botany | Prionodon Müll. Hal. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1023,-41.38,172.07,New Zealand | Oceania | Oceania |,2,Catalog,0,Species,Botany | Jungermanniales | Bazzania adnexa Lehm. Lindenb. Trevis. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1971,1971,1971,49,1970,1971,Botany,1,
1024,35.426768,-83.08514,U.S.A. | North America | North America |,2,Catalog,0,Genus,Botany | Porellales | Radula Dumort. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1025,,,Greenland | North America | North America |,3,Catalog,0,Species,Botany | Jungermanniales | Lichen | Bryophyte | Brc | Gymnocolea inflata Huds. Dumort. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1966,1966,1966,48,1960,1966,Botany,1,
1026,33,-90,U.S.A. | North America | North America |,2,Catalog,0,Species,Botany | Jungermanniales | Cephaloziella rubella Nees Warnst. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1027,,,U.S.A. | North America | North America |,3,Catalog,0,Genus,Botany | Jungermanniales | Plagiochila Dumort. Dumort. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1028,,,Japan | Asia | Asia |,3,Catalog,0,Species,Botany | Jungermanniales | Vtypes | Lophocolea horikawana S. Hatt. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1950,1950,1950,47,1950,1950,Botany,1,
1029,-10.8339,-52.8731,Brazil | South America | South America |,3,Catalog,0,Species,Botany | Gdi | Sapp | Maytenus aquifolia Mart. | ,Botany,1,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1030,-37.07,175.7,New Zealand | Oceania | Oceania |,2,Catalog,0,Species,Botany | Jungermanniales | Telaranea elegans Colenso J. J. Engel G. L. Merr. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1997,1997,1997,51,1990,1997,Botany,1,
1031,,,New Zealand | Oceania | Oceania |,3,Catalog,0,Species,Botany | Porellales | Frullania nicholsonii W. E. Nicholson E. A. Hodgs. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1032,-45.33,169.33,New Zealand | Oceania | Oceania |,2,Catalog,0,Species,Botany | Drepanocladus aduncus Hedw. Warnst. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1971,1971,1971,49,1970,1971,Botany,1,
1033,35.450676,-83.528177,U.S.A. | North America | North America |,2,Catalog,0,Species,Botany | Jungermanniales | Cephalozia bicuspidata L. Dumort. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1034,-16.97,-67.22,Bolivia | South America | South America |,2,Catalog,0,Phylum,Botany | Marchantiophyta Stotler Crand. Stotl. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1035,-16.15,-68.3,Bolivia | South America | South America |,2,Catalog,0,Phylum,Botany | Marchantiophyta Stotler Crand. Stotl. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1984,1984,1984,50,1980,1984,Botany,1,
1036,-16.95,-67.23,Bolivia | South America | South America |,2,Catalog,0,Phylum,Botany | Marchantiophyta Stotler Crand. Stotl. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1037,-16.88,-67.15,Bolivia | South America | South America |,2,Catalog,0,Phylum,Botany | Marchantiophyta Stotler Crand. Stotl. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1038,-17.17,-65.9,Bolivia | South America | South America |,2,Catalog,0,Phylum,Botany | Marchantiophyta Stotler Crand. Stotl. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1039,-21.43,-64.38,Bolivia | South America | South America |,2,Catalog,0,Phylum,Botany | Marchantiophyta Stotler Crand. Stotl. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1984,1984,1984,50,1980,1984,Botany,1,
1040,35.72882,-82.410111,U.S.A. | North America | North America |,2,Catalog,0,Species,Botany | Metzgeriales | Metzgeria crassipilis Lindb. A. Evans | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1041,,,U.S.A. | North America | North America |,3,Catalog,0,Species,Botany | Jungermanniales | Scapania nemorosa Dumort. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1938,1938,1938,45,1930,1938,Botany,1,
1042,-18.17,-63.6,Bolivia | South America | South America |,2,Catalog,0,Family,Botany | Brachytheciaceae G. Roth | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1043,-16.23,-67.72,Bolivia | South America | South America |,2,Catalog,0,Genus,Botany | Sphagnum L. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,,,,,,,Botany,1,
1044,-45.82,170.57,New Zealand | Oceania | Oceania |,2,Catalog,0,Species,Botany | Jungermanniales | Chiloscyphus mittenianus var. mittenianus | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1972,1972,1972,49,1970,1972,Botany,1,
1045,-44.58,169.42,New Zealand | Oceania | Oceania |,2,Catalog,0,Species,Botany | Macromitrium grossirete Müll. Hal. | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1969,1969,1969,48,1960,1969,Botany,1,
1046,-10.8339,-52.8731,Brazil | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1988,1988,1988,50,1980,1988,Botany,1,
1047,3.8811,-72.8667,Colombia | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1972,1972,1972,49,1970,1972,Botany,1,
1048,3.8811,-72.8667,Colombia | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1972,1972,1972,49,1970,1972,Botany,1,
1049,-9.1839,-74.14,Peru | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1987,1987,1987,50,1980,1987,Botany,1,
1050,-9.1839,-74.14,Peru | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1984,1984,1984,50,1980,1984,Botany,1,
1051,-9.1839,-74.14,Peru | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1981,1981,1981,50,1980,1981,Botany,1,
1052,-9.1839,-74.14,Peru | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1981,1981,1981,50,1980,1981,Botany,1,
1053,-16.7261,-64.435,Bolivia | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,2004,2004,2004,52,2000,2004,Botany,1,
1054,-16.7261,-64.435,Bolivia | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1979,1979,1979,49,1970,1979,Botany,1,
1055,-16.7261,-64.435,Bolivia | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1979,1979,1979,49,1970,1979,Botany,1,
1056,-16.7261,-64.435,Bolivia | South America | South America |,2,Catalog,0,Species,Botany | Hymenostylium recurvirostrum Hedw. Dixon | ,Botany,0,https://www.fieldmuseum.org/science/research/area/plants-fungi,,1979,1979,1979,49,1970,1979,Botany,1,
1057,,,U.S.A. | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1949,1949,1949,46,1940,1949,Zoology,4,
1058,,,U.S.A. | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1951,1951,1951,47,1950,1951,Zoology,1,
1059,,,U.S.A. | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1978,1978,1978,49,1970,1978,Zoology,20,
1060,,,U.S.A. | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1956,1956,1956,47,1950,1956,Zoology,1,
1061,,,U.S.A. | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1978,1978,1978,49,1970,1978,Zoology,4,
1062,,,U.S.A. | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1980,1980,1980,50,1980,1980,Zoology,1,
1063,,,U.S.A. | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1982,1982,1982,50,1980,1982,Zoology,6,
1064,,,Canada | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1974,1974,1974,49,1970,1974,Zoology,53,
1065,,,Canada | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1974,1974,1974,49,1970,1974,Zoology,34,
1066,,,Canada | North America | North America | ,3,Catalog,0,Species,Insects | Coleoptera | Beetles | Dryopoid | Databasing | Optioservus fastiditus LeConte |,Insects,0,https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods,,1974,1974,1974,49,1970,1974,Zoology,46,
