"irn","DarLatitude","DarLongitude","Where","Quality","RecordType","Backlog","TaxIDRank","What","DarCollectionCode","HasMM","URL","WhenAge","WhenAgeFrom","WhenAgeTo","DarYearCollected","WhenOrder","WhenTimeLabel","WhenAgeMid","Department","DarIndividualCount","Who","DarInstitutionCode","Bioregion"
12345,17,-96,"Mexico | North America | North America |",8,"Catalog",0,"Species","Botany | Polypodiales | Vtypes | Acrostichum pringlei Davenp.","Botany",1,"https://www.fieldmuseum.org/science/research/area/plants-fungi","1875","1894","1894",1894,"41","1875","1894","Botany",1,"","FMNH","Neotropical | Nearctic"
12346,,,"",7,"Catalog",0,"Species","Botany | Porellales | Frullania congesta Gottsche Lindenb. Nees","Botany",1,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"","FMNH",""
12347,-18,-64,"Bolivia | South America | South America |",8,"Catalog",0,"Species","Botany |","Botany",0,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"","FMNH","Neotropical | "
12348,-16,-67,"Bolivia | South America | South America |",8,"Catalog",0,"Species","Botany |","Botany",0,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"","FMNH","Neotropical | "
12349,-16,-67,"Bolivia | South America | South America |",8,"Catalog",0,"Species","Botany |","Botany",0,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"","FMNH","Neotropical | "
12350,,,"",7,"Catalog",0,"Species","Botany | Marchantiophyta Stotler Crand. Stotl.","Botany",0,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"","FMNH",""
54321,,," | U.S.A. | Illinois | Chicago | ",5,"Accession",67,,"Botany |","Botany",,,"","","",,"","","","Botany",0,"",,""
54323,,," | U.S.A. | South | Carolina | ",5,"Accession",0,,"Botany | Stachys | Floridana |","Botany",,,"","","",,"","","","Botany",0,"",,""
54326,,," | Peru | ",5,"Accession",2,,"Invertebrates | Thirteen | Lots | Land | Snails","Invertebrate Zoology",,,"","","",,"","","","Zoology",0,"",,"Neotropical | "
54327,,," | Salt | Cay | Bahamas | ",5,"Accession",993,,"Invertebrates | Species | Marine | Mollusks | Sorted | Unsorted | Beach | Litter","Invertebrate Zoology",,,"","","",,"","","","Zoology",0,"",,""
54331,,," | Canada | ",3,"Accession",7,,"Insects | Acari | Water | Mites | See | Notes","Insects",,,"","","",,"","","","Zoology",0,"",,"Nearctic | "
54332,,," | Various | ",3,"Accession",4000,,"Birds | Skeletons","Birds",,,"","","",,"","","","Zoology",0,"",,""
54333,,," | Illinois | ",4,"Accession",625,,"Birds | Birds | Pigeon | Skeletons","Birds",,,"","","",,"","","","Zoology",0,"",,""
54330,,," | U | Florida | ",4,"Accession",452,,"Insects | Insects | Other | Arthropods | Vials | Sorted | One | Berlese | Residue","Insects",,,"","","",,"","","","Zoology",0,"",,""
54329,,," | U | C | Maryland | Delaware | Ohio | Pennsylvannia | Canada | ",3,"Accession",1649,,"Insects | Ptiliidae | Specimens | See | Notes","Insects",,,"","","",,"","","","Zoology",0,"",,""
54328,,," | Philippine | Is | Luzon | Quezon | City | Peñablanca | Mt | Amuyao | ",4,"Accession",576,,"Mammals |","Mammals",,,"","","",,"","","","Zoology",0,"",,""
54322,,,"",1,"Accession",1,,"Amphibians | Reptiles |","Amphibians and Reptiles",,,"","","",,"","","","Zoology",0,"",,""
54325,,," | England | ",1,"Accession",1,,"Paleobotany |","Paleobotany",,,"","","",,"","","","Geology",0,"",,""
54324,,," | U.S.A. | ",1,"Accession",1,,"Fossil | Invertebrates |","Fossil Invertebrates",,,"","","",,"","","","Geology",0,"",,""
12351,,,"U.S.S.R. | Asia | Asia |",8,"Catalog",0,"Species","Botany | Fraxinus excelsior L. | Russian | Ash","Botany",1,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"Russian","FMNH",""
12352,43,-75,"U.S.A. | North America | North America |",8,"Catalog",0,"Species","Botany | Pimpinella anisum L. | Russian | Anise","Botany",1,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"Russian","FMNH",""
12353,,,"",7,"Catalog",0,"Species","Botany | Chamberlain | Images | Plantae","Botany",0,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"","FMNH",""
12354,,,"U.S.A. | North America | North America | ",7,"Catalog",0,"Species","Invertebrates | Stylommatophora | Inflectarius inflectus Say |","Invertebrate Zoology",0,"https://www.fieldmuseum.org/science/research/area/invertebrates","1960","1960","1960",1960,"48","1960","1960","Zoology",2,"","FMNH",""
12355,,,"U.S.A. | North America | North America | ",7,"Catalog",0,"Species","Invertebrates | Stylommatophora | Inflectarius inflectus Say |","Invertebrate Zoology",0,"https://www.fieldmuseum.org/science/research/area/invertebrates","1960","1961","1961",1961,"48","1960","1961","Zoology",2,"","FMNH",""
12356,,,"U.S.A. | North America | North America | ",7,"Catalog",0,"Species","Invertebrates | Stylommatophora | Inflectarius inflectus Say |","Invertebrate Zoology",0,"https://www.fieldmuseum.org/science/research/area/invertebrates","1960","1961","1961",1961,"48","1960","1961","Zoology",5,"","FMNH",""
12357,,,"U.S.A. | North America | North America | Sangamon River",7,"Catalog",0,"Species","Fishes | Cypriniformes | Minnows | Suckers | Semotilus atromaculatus atromaculatus |","Fishes",0,"https://www.fieldmuseum.org/science/research/area/fishes","1940","1947","1947",1947,"46","1940","1947","Zoology",7,"","FMNH",""
12358,,,"U.S.A. | North America | North America | ",7,"Catalog",0,"Species","Fishes | Aulopiformes | Salmons | Aulopiforms | Synodus foetens |","Fishes",0,"https://www.fieldmuseum.org/science/research/area/fishes","1950","1950","1950",1950,"47","1950","1950","Zoology",1,"","FMNH",""
12359,,,"U.S.A. | North America | North America | ",7,"Catalog",0,"Species","Fishes | Clupeiformes | Anchovies | Herrings | Dorosoma cepedianum |","Fishes",0,"https://www.fieldmuseum.org/science/research/area/fishes","1940","1947","1947",1947,"46","1940","1947","Zoology",1,"","FMNH",""
12360,,,"",7,"Catalog",0,"Species","Insects | Hemiptera | True Bugs | Hemipterans | Insecta | Belemus dentatus Fieber |","Insects",0,"https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","","","",,"","","","Zoology",1,"","FMNH",""
12361,,,"",7,"Catalog",0,"Species","Insects | Hymenoptera | Ants | Bees | Wasps | Insecta | Belivius absonus |","Insects",0,"https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","","","",,"","","","Zoology",1,"","FMNH",""
12362,,,"",7,"Catalog",0,"Species","Insects | Orthoptera | Grasshoppers | Locusts | Crickets | Katydids | Insecta | Belocephalus subapterus Scudder |","Insects",0,"https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","","","",,"","","","Zoology",1,"","FMNH",""
12363,,,"",7,"Catalog",0,"Species","Insects | Hemiptera | True Bugs | Hemipterans | Insecta | Belonochilus numenius |","Insects",0,"https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","","","",,"","","","Zoology",1,"","FMNH",""
12364,,,"",7,"Catalog",0,"Species","Insects | Hymenoptera | Ants | Bees | Wasps | Insecta | Belonocnema kinseyi Weld |","Insects",0,"https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","","","",,"","","","Zoology",1,"","FMNH",""
12365,,,"",7,"Catalog",0,"Species","Insects | Hymenoptera | Ants | Bees | Wasps | Insecta | Belonocnema quercusvirens Osten Sacken |","Insects",0,"https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","","","",,"","","","Zoology",1,"","FMNH",""
12366,,,"U.S.A. | North America | North America | ",7,"Catalog",0,"Species","Amphibians | Reptiles | Anura | Frogs | Toads | Rana catesbeiana |","Amphibians and Reptiles",0,"https://www.fieldmuseum.org/science/research/area/amphibians-reptiles","1970","1976","1976",1976,"49","1970","1976","Zoology",1,"","FMNH",""
12367,,,"U.S.A. | North America | North America | ",7,"Catalog",0,"Species","Amphibians | Reptiles | Anura | Frogs | Toads | Rana |","Amphibians and Reptiles",0,"https://www.fieldmuseum.org/science/research/area/amphibians-reptiles","1970","1971","1971",1971,"49","1970","1971","Zoology",1,"","FMNH",""
12368,,," | North America | North America |",7,"Catalog",0,"Species","Botany | Lichen | Bryophyte | Tcn","Botany",1,"https://www.fieldmuseum.org/science/research/area/plants-fungi","","","",,"","","","Botany",1,"","FMNH",""
12369,-7,36,"Tanzania | Africa | Africa | ",8,"Catalog",0,"Species","Mammals | Soricomorpha | Suncus megalura |","Mammals",0,"https://www.fieldmuseum.org/science/research/area/mammals","2000","2000","2000",2000,"52","2000","2000","Zoology",1,"","FMNH","Afrotropical | "
12370,-7,36,"Tanzania | Africa | Africa | ",8,"Catalog",0,"Species","Mammals | Chiroptera | Bats | Rousettus aegyptiacus |","Mammals",0,"https://www.fieldmuseum.org/science/research/area/mammals","2000","2000","2000",2000,"52","2000","2000","Zoology",1,"","FMNH","Afrotropical | "
12371,-7,36,"Tanzania | Africa | Africa | ",8,"Catalog",0,"Species","Mammals | Chiroptera | Bats | Rhinolophus |","Mammals",0,"https://www.fieldmuseum.org/science/research/area/mammals","2000","2000","2000",2000,"52","2000","2000","Zoology",1,"","FMNH","Afrotropical | "
12372,-7,36,"Tanzania | Africa | Africa | ",8,"Catalog",0,"Species","Mammals | Chiroptera | Bats | Rhinolophus |","Mammals",0,"https://www.fieldmuseum.org/science/research/area/mammals","2000","2000","2000",2000,"52","2000","2000","Zoology",1,"","FMNH","Afrotropical | "
12373,-7,36,"Tanzania | Africa | Africa | ",8,"Catalog",0,"Species","Mammals | Chiroptera | Bats | Rhinolophus deckenii |","Mammals",0,"https://www.fieldmuseum.org/science/research/area/mammals","2000","2000","2000",2000,"52","2000","2000","Zoology",1,"","FMNH","Afrotropical | "
12374,-7,36,"Tanzania | Africa | Africa | ",8,"Catalog",0,"Species","Mammals | Chiroptera | Bats | Rhinolophus maendeleo |","Mammals",0,"https://www.fieldmuseum.org/science/research/area/mammals","2000","2000","2000",2000,"52","2000","2000","Zoology",1,"","FMNH","Afrotropical | "
12375,-7,36,"Tanzania | Africa | Africa | ",9,"Catalog",0,"Species","Mammals | Chiroptera | Bats | Rhinolophus maendeleo |","Mammals",1,"https://www.fieldmuseum.org/science/research/area/mammals","2000","2000","2000",2000,"52","2000","2000","Zoology",1,"","FMNH","Afrotropical | "
12376,,,"",7,"Catalog",0,"Species","Insects | Phasmatodea | Insecta | Phasmatodea |","Insects",0,"https://www.fieldmuseum.org/science/research/area/insects-arachnids-and-myriapods","","","",,"","","","Zoology",1,"","FMNH",""
