"WhenLUT","DateFrom","DateTo"
"1875",1875,1875
"1900",1900,1900
"1910",1910,1910
"1920",1920,1920
"1930",1930,1930
"1940",1940,1940
"1950",1950,1950
"1960",1960,1960
"1970",1970,1970
"1980",1980,1980
"1990",1990,1990
"2000",2000,2000
"2010",2010,2010
"Aalenian",-175600000,-171600000
"Acheulean",-1500000,-150000
"Acheulian",-1500000,-150000
"Aeronian",-4.39e+08,-4.36e+08
"Albian",-1.12e+08,-1.25e+08
"Ancient",-3600,500
"Anisian",-2.37e+08,-2.45e+08
"Aptian",-1.12e+08,-1.25e+08
"Aquitanian",-23030000,-20430000
"Archaic",-6000,-3000
"Archean",-4e+09,-2.5e+09
"Artinskian",-284400000,-275600000
"Asselian",-2.99e+08,-294600000
"Aurignacian",-40000,-30000
"Aurignacian Upper Phase A",-40000,-30000
"Azilian",-10000,-9000
"Aztec",1400,1521
"Babylonian",-1894,-140
"Bajocian",-171600000,-167700000
"Barremian",-1.25e+08,-1.3e+08
"Bartonian",-48600000,-55800000
"Bashkirian",-318100000,-311700000
"Bashkirian Morrowan",-311700000,-318100000
"Basket Maker Ii",-1500,500
"Bathonian",-167700000,-164700000
"Berriasian",-145500000,-140200000
"Bronze Age",-3600,-1000
"Burdigalian",-13650000,-15970000
"Burinian",-5.42e+08,-5.35e+08
"Byzantine",330,1453
"Callovian",-164700000,-161200000
"Calymmian",-1.6e+09,-1.4e+09
"Cambrian",-443700000,-488300000
"Campanian",-83500000,-70600000
"Capitanian",-265800000,-260400000
"Carboniferous",-2.99e+08,-359200000
"Carnian",-216500000,-2.28e+08
"Cenomanian",-93500000,-99600000
"Cenozoic",-781000,-2590000
"Changhsingian",-253800000,-2.51e+08
"Chattian",-28450000,-23030000
"Chen Dynasty",557,588
"Cincinnatian",-443700000,-4.51e+08
"Cisuralian",-2.99e+08,-270600000
"Coniacian",-89300000,-85800000
"Cretaceous",-65500000,-145500000
"Cryogenian",-8.5e+08,-1e+09
"Danian",-30500000,-3.2e+07
"Dapingian",-471800000,-468100000
"Darriwilian",-468100000,-460900000
"Demotic",-650,500
"Devonian",-359200000,-385300000
"Drumian",-5.06e+08,-5.04e+08
"Early Cretaceous",-99600000,-145500000
"Early Devonian",-397500000,-4.16e+08
"Early Dynastic",-3000,-2230
"Early Dynastic I",-2900,-2700
"Early Dynastic Ii",-2700,-2600
"Early Dynastic Iii",-2600,-2230
"Early Jurassic",-175600000,-199600000
"Early Miocene",-30500000,-3.2e+07
"Early Mississippian",-345300000,-359200000
"Early Ordovician",-471800000,-488300000
"Early Pennsylvanian",-2.99e+08,-359200000
"Early Pleistocene",-2590000,-3600000
"Early Triassic",-2.37e+08,-2.45e+08
"Eastern Han Dynasty",25,220
"Eastern Jin Dynasty",317,420
"Eastern Wei Dynasty",534,549
"Eastern Zhou Dynasty",-770,-221
"Ectasian",-1.4e+09,-1.2e+09
"Ediacaran",-6.3e+08,-5.42e+08
"Eifelian",-397500000,-4.07e+08
"Emsian",-397500000,-4.07e+08
"Eoarchean",-4e+09,-3.6e+09
"Eocene",-33900000,-55800000
"Famennian",-359200000,-374500000
"Fifth Stage",-5.1e+08,-5.06e+08
"Five Dynasties",907,960
