"CollectionCodes","Role","n"
"Amphibians and Reptiles","Other Support",5
"Anthropology","Collections Staff",18
"Anthropology","Other Support",72
"Anthropology","Research Staff",5
"Anthropology","Volunteer/Intern",92
"Birds","Collections Staff",1
"Birds","Other Support",8
"Birds","Volunteer/Intern",2
"Botany","Collections Staff",5
"Botany","Other Support",18
"Botany","Research Staff",2
"Botany","Volunteer/Intern",20
"Fishes","Collections Staff",3
"Fishes","Other Support",7
"Fishes","Research Staff",1
"Fishes","Volunteer/Intern",6
"Fossil Invertebrates","Collections Staff",2
"Fossil Invertebrates","Other Support",1
"Fossil Invertebrates","Volunteer/Intern",13
"Fossil Vertebrates","Collections Staff",1
"Fossil Vertebrates","Other Support",1
"Insects","Collections Staff",15
"Insects","Other Support",16
"Insects","Research Staff",2
"Insects","Volunteer/Intern",32
"Invertebrate Zoology","Collections Staff",1
"Invertebrate Zoology","Other Support",8
"Invertebrate Zoology","Volunteer/Intern",2
"Mammals","Collections Staff",2
"Mammals","Other Support",5
"Mammals","Research Staff",2
"Media","Other Support",1
"Other","Collections Staff",10
"Other","Other Support",53
"Other","Volunteer/Intern",16
"Paleobotany","Collections Staff",1
"Paleobotany","Other Support",3
"Paleobotany","Volunteer/Intern",4
"Physical Geology","Other Support",1
